richard_donner|Richard Donner
samuel_fuller|Samuel Fuller
gene_cajayon|Gene Cajayon
garson_kanin|Garson Kanin
1069433-robert_young|Robert Young
david_hand|David Hand
jonas_pate|Jonas Pate
roger_gnoan_mbala|Roger Gnoan M'Bala
peter_mullan|Peter Mullan
sanaa_hamri|Sanaa Hamri
john_d_hancock|John D. Hancock
todd_graff|Todd Graff
patrick_leung|Patrick Leung
emmanuel_carrere|Emmanuel Carrere
anton_corbijn|Anton Corbijn
marc_levin|Marc Levin
david_allen|David Allen
steno|Steno
james_melkonian|James Melkonian
pj_hogan|P.J. Hogan
1136788-daniel_lee|Daniel Lee
andrew_wagner|Andrew Wagner
ladislaus_vajda|Ladislaus Vajda
michael_clancy|Michael Clancy
1174696-aaron_katz|Aaron Katz
michael_edwards|Michael Edwards
nadine_labaki|Nadine Labaki
bernard_l_kowalski|Bernard L. Kowalski
colin_brady|Colin Brady
don_bluth|Don Bluth
gene_roddenberry|Gene Roddenberry
eric_schaeffer|Eric Schaeffer
tom_mankiewicz|Tom Mankiewicz
_0172877|Laurie Collyer
yukio_kaizawa|Yukio Kaizawa
albert_dekker|Albert Dekker
frank_oz|Frank Oz
michael_mccullers|Michael McCullers
eric_radomski|Eric Radomski
cornel_wilde|Cornel Wilde
andrew_horn|Andrew Horn
1183802-miles_brandman|Miles Brandman
hilary_brougher|Hilary Brougher
_0417794|Michael Patrick Jann
george_sidney|George Sidney
andrucha_waddington|Andrucha Waddington
david_s_goyer|David S. Goyer
michael_ritchie|Michael Ritchie
1041609-michael_gordon|Michael Gordon
edward_lachman|Edward Lachman
hal_hartley|Hal Hartley
jeff_byrd|Jeff Byrd
1168035-dito_montiel|Dito Montiel
robert_iscove|Robert Iscove
julien_temple|Julien Temple
geoff_murphy|Geoff Murphy
chris_noonan|Chris Noonan
vadim_jean|Vadim Jean
thomas_bezucha|Thomas Bezucha
david_dobkin|David Dobkin
michele_soavi|Michele Soavi
1144588-peter_mattei|Peter Mattei
dale_bradley|Dale Bradley
david_beaird|David Beaird
david_nutter|David Nutter
darin_scott|Darin Scott
1036363-james_wong|James Wong
chuck_parello|Chuck Parello
henry_king|Henry King
paul_wendkos|Paul Wendkos
steve_yeager|Steve Yeager
_0858599|Caroline Thomas
steve_boyum|Steve Boyum
ulu_grosbard|Ulu Grosbard
peter_segal|Peter Segal
andrew_v_mclaglen|Andrew V. McLaglen
jamie_nolan|Jamie Nolan
john_whitesell|John Whitesell
hal_needham|Hal Needham
paul_bales|Paul Bales
marc_rothemund|Marc Rothemund
sam_weisman|Sam Weisman
michael_cuesta|Michael Cuesta
bruce_a_evans|Bruce A. Evans
dan_klores|Dan Klores
1043889-richard_stanley|Richard Stanley
chris_browne|Chris Browne
john-flynn|John Flynn
roland_emmerich|Roland Emmerich
1056180-george_pappas|George Pappas
david_anspaugh|David Anspaugh
robert_mandel|Robert Mandel
murray_lerner|Murray Lerner
charles_cozart|Charles Cozart
friz_freleng|Friz Freleng
stu_pollard|Stu Pollard
ben_affleck|Ben Affleck
jeff_blyth|Jeff Blyth
alan_arkin|Alan Arkin
anne_julien|Anne Julien
david_o_russell|David O. Russell
kevin_costner|Kevin Costner
john_cromwell|John Cromwell
david_caffrey|David Caffrey
stephen_hopkins|Stephen Hopkins
harry_moses|Harry Moses
jeff_burr|Jeff Burr
mary_cybulski|Mary Cybulski
alan_brown|Alan Brown
1185012-cao_hamburger|Cao Hamburger
gaston_kabore|Gaston Kaboré
dave_thomas|Dave Thomas
amy_heckerling|Amy Heckerling
jose_luis_cuerda|José Luis Cuerda
10004810-sophie_fiennes|Sophie Fiennes
jon_hurwitz|Jon Hurwitz
_0781341|Jakov Sedlar
ryan_parrott|Ryan Parrott
francine_mcdougall|Francine McDougall
roland_joffe|Roland Joffé
liliana_cavani|Liliana Cavani
doug_aarniokoski|Doug Aarniokoski
akira_kurosawa|Akira Kurosawa
william_richert|William Richert
vincent_sherman|Vincent Sherman
mary_harron|Mary Harron
charlie_kaufman|Charlie Kaufman
ethan_hawke|Ethan Hawke
adam-rifkin|Adam Rifkin
pier_paolo_pasolini|Pier Paolo Pasolini
joe_johnston|Joe Johnston
agnieszka_holland|Agnieszka Holland
peter_ofallon|Peter O'Fallon
harvey_miller|Harvey Miller
brian_gilbert|Brian Gilbert
yung_chang|Yung Chang
marshall_lewy|Marshall Lewy
william_wyler|William Wyler
louis_leterrier|Louis Leterrier
yu_wang|Yu Wang
bryan_spicer|Bryan Spicer
peter_m_cohen|Peter M. Cohen
charles_marquis_warren|Charles Marquis Warren
joe_roth|Joe Roth
yuri_mamin|Yuri Mamin
andre_bonzel|André Bonzel
jon_amiel|Jon Amiel
peter-antonijevic|Peter Antonijevic
patrick_creadon|Patrick Creadon
james_anderson_viii|James Anderson (VIII)
lewis_gilbert|Lewis Gilbert
eric_leighton|Eric Leighton
doug_mchenry|Doug McHenry
george_scribner|George Scribner
tinto_brass|Tinto Brass
ice_cube|Ice Cube
_0512052|Eleanor Lindo
wolfgang_becker|Wolfgang Becker
scott_frank|Scott Frank
barbra_streisand|Barbra Streisand
jon_chu|Jon Chu
scott_coffey|Scott Coffey
matthew-saville|Matthew Saville
jamaa_fanaka|Jamaa Fanaka
ruud_van_hemert|Ruud van Hemert
michael_dowse|Michael Dowse
jean_delannoy|Jean Delannoy
jeff-nichols|Jeff Nichols
michael_sarne|Michael Sarne
thaddeus_osullivan|Thaddeus O'Sullivan
paul_greengrass|Paul Greengrass
robert_radler|Robert Radler
paul_bartel|Paul Bartel
vondie_curtishall|Vondie Curtis-Hall
mitchell_lichtenstein|Mitchell Lichtenstein
robert_hiltzik|Robert Hiltzik
preston-a-whitmore-ii|Preston A. Whitmore II
john_madden|John Madden
victor_schertzinger|Victor Schertzinger
melvin_james|Melvin James
peter_hall|Peter Hall
hc_potter|H.C. Potter
_0006860|Damian Lee
m_night_shyamalan|M. Night Shyamalan
albert_henderson|Albert Henderson
lewis_allen|Lewis Allen
carl-lerner|Carl Lerner
delphine_gleize|Delphine Gleize
kenji_misumi|Kenji Misumi
jeffrey_friedman|Jeffrey Friedman
dale_schott|Dale Schott
sandy_tung|Sandy Tung
sydney_pollack|Sydney Pollack
dean_semler|Dean Semler
ray_kellogg|Ray Kellogg
josh_sternfeld|Josh Sternfeld
frank_capra|Frank Capra
shion_sono|Sion Sono
jeremy_kagan|Jeremy Kagan
william_keighley|William Keighley
george_franju|Georges Franju
zbigniew_rybczynski|Zbigniew Rybczynski
kazuyoshi_kumakiri|Kazuyoshi Kumakiri
bill_bennett|Bill Bennett
todd_solondz|Todd Solondz
uwe_boll|Uwe Boll
john_woo|John Woo
vladimir_michalek|Vladimír Michálek
manuel_boursinhac|Manuel Boursinhac
bruce_hunt|Bruce Hunt
norman_taurog|Norman Taurog
ellen_hovde|Ellen Hovde
antti_jussi_annila|Antti-Jussi Annila
michael_martin|Michael Martin
jill_sprecher|Jill Sprecher
franc-reyes|Franc Reyes
niels_mueller|Niels Mueller
1036678-tom_moore|Tom Moore
kevin_williamson|Kevin Williamson
tony_cinciripini|Tony Cinciripini
damon_dash|Damon Dash
roy_ward_baker|Roy Ward Baker
coleman_francis|Coleman Francis
michele-bernier|Michèle Bernier
robert_aldrich|Robert Aldrich
george_bowers|George Bowers
don_hartman|Don Hartman
george_fitzmaurice|George Fitzmaurice
george_pal|George Pal
brian_yuzna|Brian Yuzna
fred_gerber|Fred Gerber
andrew_douglas|Andrew Douglas
robert_moore|Robert Moore
gary_a_sherman|Gary A. Sherman
_0588553|Jason Miller
norman_ferguson|Norman Ferguson
rob_marshall|Rob Marshall
ws_van_dyke|W.S. Van Dyke
virgil_w_vogel|Virgil W. Vogel
masayuki_suo|Masayuki Suo
marcel_camus|Marcel Camus
karin_williams|Karin Williams
toru_murakawa|Toru Murakawa
cecil_b_demille|Cecil B. DeMille
robert_z_leonard|Robert Z. Leonard
george_axelrod|George Axelrod
brett_leonard|Brett Leonard
lee_hirsch|Lee Hirsch
willard_carroll|Willard Carroll
ralph_nelson|Ralph Nelson
mariano_barroso|Mariano Barroso
charles_dance|Charles Dance
patrice_chereau|Patrice Chéreau
albert_brooks|Albert Brooks
larry_thomas|Larry Thomas
mike_figgis|Mike Figgis
julia-kwan|Julia Kwan
leslie_h_martinson|Leslie H. Martinson
pauly_shore|Pauly Shore
maria_ripoll|María Ripoll
kevin_connor|Kevin Connor
paul_thomas_anderson|Paul Thomas Anderson
thomas_vinterberg|Thomas Vinterberg
matthew_parkhill|Matthew Parkhill
1060941-anthony_page|Anthony Page
damian_pettigrew|Damian Pettigrew
billy_crystal|Billy Crystal
john-walter|John Walter
francoise_kohler|Francoise Kohler
edward_burns|Edward Burns
robert_marcarelli|Robert Marcarelli
desmond_davis|Desmond Davis
michael_hoffman|Michael Hoffman
ray_enright|Ray Enright
mike_leigh|Mike Leigh
greg_beeman|Greg Beeman
fred_m_wilcox|Fred M. Wilcox
mark_piznarski|Mark Piznarski
steve_de_jarnatt|Steve De Jarnatt
jeremy_leven|Jeremy Leven
piers_haggard|Piers Haggard
arie_posin|Arie Posin
1182719-franck_khalfoun|Franck Khalfoun
charles_hermanwurmfeld|Charles Herman-Wurmfeld
fred_dekker|Fred Dekker
bruno_nuytten|Bruno Nuytten
_0006846|Ric Roman Waugh
sidney_lumet|Sidney Lumet
ted_post|Ted Post
aleksandrsokurov|Aleksandr Sokurov
daniel_cohen|Daniel Cohen
1042605-richard_murphy|Richard Murphy
marco_bellocchio|Marco Bellocchio
emmanuel_goldstein|Emmanuel Goldstein
zalman_king|Zalman King
alfred_l_werker|Alfred L. Werker
michael_mcgowan|Michael McGowan
chris-menges|Chris Menges
rodman_flender|Rodman Flender
gonzalo_suarez|Gonzalo Suárez
chris_terrio|Chris Terrio
elaine_may|Elaine May
john_a_alonzo|John A. Alonzo
karan_johar|Karan Johar
_0282425|Peter Flinth
gavin_wilding|Gavin Wilding
david_winters|David Winters
adam_shankman|Adam Shankman
claude_chabrol|Claude Chabrol
charley_rogers|Charley Rogers
tony_bui|Tony Bui
anne_wheeler|Anne Wheeler
deb_hagen|Deb Hagen
john_august|John August
john_maybury|John Maybury
kiefer_sutherland|Kiefer Sutherland
marion_hansel|Marion Hansel
_0577332|Jordan Melamed
victor_halperin|Victor Halperin
jack_pollexfen|Jack Pollexfen
tom_dicillo|Tom DiCillo
yahoo_serious|Yahoo Serious
nir_bergman|Nir Bergman
kim_henkel|Kim Henkel
jeanbaptiste-andrea|Jean-Baptiste Andrea
brian_de_palma|Brian DePalma
paul_dinello|Paul Dinello
deran_sarafian|Deran Sarafian
charles_reisner|Charles Reisner
james_keach|James Keach
john_frankenheimer|John Frankenheimer
carl-prechezer|Carl Prechezer
ghasem-ebrahimian|Ghasem Ebrahimian
paula_van_der_oest|Paula Van der Oest
carlos_saldanha|Carlos Saldanha
graham_chapman|Graham Chapman
henry_koster|Henry Koster
jeremy_podeswa|Jeremy Podeswa
george_englund|George Englund
jan_svankmajer|Jan Svankmajer
kevin_brodie|Kevin Brodie
ron_oliver|Ron Oliver
bruno_dumont|Bruno Dumont
anthony_waller|Anthony Waller
neil_jordan|Neil Jordan
juan_carlos_fresnadillo|Juan Carlos Fresnadillo
veit_helmer|Veit Helmer
1060778-joss_whedon|Joss Whedon
bart_freundlich|Bart Freundlich
dana_brown|Dana Brown
paul_f_ryan|Paul F. Ryan
melanie_mayron|Melanie Mayron
1106491-lee_rose|Lee Rose
richard_lagravenese|Richard LaGravenese
tim_hunter|Tim Hunter
christopher_muench|Christopher Münch
daniele_thompson|Danièle Thompson
zhang_yang|Zhang Yang
bruce_beresford|Bruce Beresford
rick_famuyiwa|Rick Famuyiwa
bo_arne_vibenius|Bo Arne Vibenius
garth_jennings|Garth Jennings
nigel_finch|Nigel Finch
amir-bar-lev|Amir Bar-Lev
ken_russell|Ken Russell
bob_swaim|Bob Swaim
slobodan_sijan|Slobodan Sijan
daniel_petrie_sr|Daniel Petrie Sr
henryalex_rubin|Henry-Alex Rubin
raoul_peck|Raoul Peck
jay_levey|Jay Levey
francis-glebas|Francis Glebas
christopher_cain|Christopher Cain
isabel_coixet|Isabel Coixet
maurice_joyce_ii|Maurice Joyce (II)
joan_chen|Joan Chen
jeanpierre_jeunet|Jean-Pierre Jeunet
_0754328|Olli Saarela
francisco-perez-dolz|Francisco Perez Dolz
1072502-marc_connelly|Marc Connelly
shirley-sun|Shirley Sun
frank-nissen|Frank Nissen
kemp_curly|Kemp Curly
fax_bahr|Fax Bahr
mark_goldblatt|Mark Goldblatt
atom_egoyan|Atom Egoyan
lee_daniels|Lee Daniels
bud_yorkin|Bud Yorkin
berit_nesheim|Berit Nesheim
alan-spencer|Alan Spencer
edward_bernds|Edward Bernds
olivier_megaton|Olivier Megaton
daniel_algrant|Daniel Algrant
gilbert_cates|Gilbert Cates
anders_thomas_jensen|Anders Thomas Jensen
rob_minkoff|Rob Minkoff
tom_hunsinger|Tom Hunsinger
steve_antin|Steve Antin
alek-keshishian|Alek Keshishian
fernando_trueba|Fernando Trueba
mark_neveldine|Mark Neveldine
dario_argento|Dario Argento
noboru_iguchi|Noboru Iguchi
jacques_becker|Jacques Becker
todd_haynes|Todd Haynes
don_abernathy|Don Abernathy
patrick-conrad|Patrick Conrad
judy_irving|Judy Irving
jan_de_bont|Jan de Bont
ernst_lubitsch|Ernst Lubitsch
dave_diamond|Dave Diamond
1175254-zach_helm|Zach Helm
hans_alfredson|Hans Alfredson
_0813583|Andrew Solt
steven_okazaki|Steven Okazaki
michael_cristofer|Michael Cristofer
denis-villeneuve|Denis Villeneuve
1162568-scott_roberts|Scott Roberts
jeonghyang_lee|Jeong-hyang Lee
maciej-dutkiewicz|Maciej Dutkiewicz
joshua_brand|Joshua Brand
anne_goursaud|Anne Goursaud
nanni_moretti|Nanni Moretti
eric-styles|Eric Styles
mel_gibson|Mel Gibson
irwin_allen|Irwin Allen
william_sachs|William Sachs
chuck_bail|Chuck Bail
freida_lee_mock|Freida Lee Mock
larry_blamire|Larry Blamire
ken_olin|Ken Olin
ryosuke_takahashi|Ryosuke Takahashi
marcus_adams|Marcus Adams
david_ayer|David Ayer
1047199-tim_pope|Tim Pope
tom_tykwer|Tom Tykwer
luis_llosa|Luis Llosa
noah_baumbach|Noah Baumbach
jeffrey_kramer|Jeffrey Kramer
chris_nahon|Chris Nahon
james_bridges|James Bridges
shane_carruth|Shane Carruth
jack_starrett|Jack Starrett
1045357-john_henderson|John Henderson
lasse_spang_olsen|Lasse Spang Olsen
lam_fookdei|Lam Fook-Dei
kinji_fukasaku|Kinji Fukasaku
josh_roybal|Josh Roybal
eric_mendelsohn|Eric Mendelsohn
1181054-ted_braun|Ted Braun
chris_kentis|Chris Kentis
james_merendino|James Merendino
david-hugh-jones|David Hugh Jones
karyn_kusama|Karyn Kusama
dave_meyers|Dave Meyers
kari_juusonen|Kari Juusonen
curtis_hanson|Curtis Hanson
jack_bender|Jack Bender
clyde_geronimi|Clyde Geronimi
stewart_raffill|Stewart Raffill
daniel_sanchez_arevalo|Daniel Sánchez Arévalo
alex_cox|Alex Cox
susannah_grant|Susannah Grant
kieron-j-walsh|Kieron J. Walsh
james_c_strouse|James C. Strouse
guillermo_del_toro|Guillermo del Toro
ed_kaplan|Ed Kaplan
julia_query|Julia Query
george_sluizer|George Sluizer
jeanclaude_brisseau|Jean-Claude Brisseau
lu_chuan|Lu Chuan
graham_baker|Graham Baker
david_shapiro|David Shapiro
bob-dahlin|Bob Dahlin
david_mallet|David Mallet
matthew_ocallaghan|Matthew O'Callaghan
mike_white|Mike White
jeanpaul_rappeneau|Jean-Paul Rappeneau
pete_travis|Pete Travis
rick_friedberg|Rick Friedberg
jane_wagner|Jane Wagner
taika-cohen|Taika Cohen
jeanpierre_denis|Jean-Pierre Denis
ashutosh_gowariker|Ashutosh Gowariker
lynn_roth|Lynn Roth
jackson_hunsicker|Jackson Hunsicker
lee_h_katzin|Lee H. Katzin
nunnally_johnson|Nunnally Johnson
george_lucas|George Lucas
frank_perry|Frank Perry
stephen_gaghan|Stephen Gaghan
lloyd_bacon|Lloyd Bacon
elie_chouraqui|Elie Chouraqui
karen_everett|Karen Everett
sherman_alexie|Sherman Alexie
ole_christian_madsen|Ole Christian Madsen
jules_dassin|Jules Dassin
sam_raimi|Sam Raimi
jeanpierre_limosin|Jean-Pierre Limosin
george_cukor|George Cukor
jan-schutte|Jan Schütte
jose-luis-valenzuela|José Luis Valenzuela
victor_heerman|Victor Heerman
coralie|Coralie
tim_blake_nelson|Tim Blake Nelson
brett_ratner|Brett Ratner
aric-avelino|Aric Avelino
espen_sandberg|Espen Sandberg
bob_spiers|Bob Spiers
pierre_boutron|Pierre Boutron
sean_jablonski|Sean Jablonski
daisuke_nishio|Daisuke Nishio
antonio_margheriti|Antonio Margheriti
celine-sciamma|Céline Sciamma
helena_solberg|Helena Solberg
tamara_jenkins|Tamara Jenkins
claude_lanzmann|Claude Lanzmann
bill_roberts|Bill Roberts
1180048-jonathan_levine|Jonathan Levine
danny_huston|Danny Huston
scott_hamilton_kennedy|Scott Hamilton Kennedy
adam-rapp|Adam Rapp
simon_west|Simon West
1147933-ryuhei_kitamura|Ryuhei Kitamura
reva_rose|Reva Rose
jeremy_brock|Jeremy Brock
walter_salles_jr|Walter Salles
jasmin_dizdar|Jasmin Dizdar
1190409-danny_jacobs|Danny Jacobs
robert_siodmak|Robert Siodmak
roderick_giles|Roderick Giles
mel_brooks|Mel Brooks
matt_reeves|Matt Reeves
harald_reinl|Harald Reinl
joseph_green|Joseph Green
dominic_sena|Dominic Sena
erick_zonca|Erick Zonca
charles_mccracken_ii|Charles McCracken (II)
allison_anders|Allison Anders
yasujiro_ozu|Yasujiro Ozu
sergei_bondarchuk|Sergei Bondarchuk
mike_hodges|Mike Hodges
stuart_orme|Stuart Orme
aaron_norris|Aaron Norris
nardo_bonomi|Nardo Bonomi
pat_proft|Pat Proft
charles_band|Charles Band
anthony_leondis|Anthony Leondis
peter_sasdy|Peter Sasdy
emilio_maille|Emilio Maille
griffin_dunne|Griffin Dunne
robert_lee_king|Robert Lee King
gregory_mars_martin|Gregory "Mars" Martin
catherine_morshead|Catherine Morshead
stephen_cornwell|Stephen Cornwell
freddie_francis|Freddie Francis
1166349-jim_brown|Jim Brown
1063458-michael_anderson|Michael Anderson
_0952569|Steven F. Zambo
michael_davis_ii|Michael Davis (II)
anita_louise|Anita Louise
steven_brill|Steven Brill
steve_gomer|Steve Gomer
lik_chi_lee|Lik-Chi Lee
julian_fellowes|Julian Fellowes
john_mcnaughton|John McNaughton
felipe_cazals|Felipe Cazals
alan_alda|Alan Alda
mike_judge|Mike Judge
alexander_korda|Alexander Korda
peter_macdonald|Peter MacDonald
michael_kalesniko|Michael Kalesniko
hunter_richards|Hunter Richards
bronwen_hughes|Bronwen Hughes
kevin_spacey|Kevin Spacey
ben_younger|Ben Younger
abel_ferrara|Abel Ferrara
ernest_b_schoedsack|Ernest B. Schoedsack
1182131-eran_kolirin|Eran Kolirin
doug_liman|Doug Liman
lewis_milestone|Lewis Milestone
lance_rivera|Lance Rivera
durville_martin|D'Urville Martin
haskell_wexler|Haskell Wexler
1176724-mark_osborne|Mark Osborne
david_kellogg|David Kellogg
peter-clifton|Peter Clifton
alex_kendrick|Alex Kendrick
_1264352|Susanna White
ib_melchior|Ib Melchior
petter_naess|Petter Naess
arthur_allan_seidelman|Arthur Allan Seidelman
phillip_j_bartell|Phillip J. Bartell
marlon_brando|Marlon Brando
bernard_rapp|Bernard Rapp
robert_flaherty|Robert J. Flaherty
david_ogden_stiers|David Ogden Stiers
christopher_guest|Christopher Guest
steve_carver|Steve Carver
zak_penn|Zak Penn
peter_hastings|Peter Hastings
duncan_tucker|Duncan Tucker
david_m_evans|David M. Evans
peter_greenaway|Peter Greenaway
kirk_wong|Kirk Wong
michael_mongillo|Michael Mongillo
karwai-wong|Kar Wai Wong
1192394-mabrouk_el_mechri|Mabrouk El Mechri
theresa_connelly|Theresa Connelly
antonia_bird|Antonia Bird
pontus_lowenhielm|Pontus Löwenhielm
ben_bolt|Ben Bolt
george_huang|George Huang
roger_allers|Roger Allers
tony_goldwyn|Tony Goldwyn
david-salle|David Salle
jonas-akerlund|Jonas Åkerlund
hans_canosa|Hans Canosa
george_stevens|George Stevens
hamilton_luske|Hamilton Luske
preston_sturges|Preston Sturges
prachya_pinkaew|Prachya Pinkaew
jonathan_r_betuel|Jonathan R. Betuel
alan_mehrez|Alan Mehrez
sanjay-gadhavi|Sanjay Gadhvi
bill_kroyer|Bill Kroyer
wil_shriner|Wil Shriner
james_komack|James Komack
1042742-alan_parker|Alan Parker
roger_spottiswoode|Roger Spottiswoode
george_casey|George Casey
jed_mortenson|Jed Mortenson
emile_ardolino|Emile Ardolino
evan-dunsky|Evan Dunsky
jon_jost|Jon Jost
sarah_polley|Sarah Polley
1015315-don_taylor|Don Taylor
george_dunning|George Dunning
jeff_franklin|Jeff Franklin
arthur_lubin|Arthur Lubin
1181996-gary_hustwit|Gary Hustwit
robert_ellis_miller|Robert Ellis Miller
marc_abraham|Marc Abraham
roberto_benabib|Roberto Benabib
henry_barrial|Henry Barrial
emanuele_crialese|Emanuele Crialese
boris-damast|Boris Damast
byron_haskin|Byron Haskin
silvio_narizzano|Silvio Narizzano
edward_cline|Edward F. Cline
alfonso_arau|Alfonso Arau
rachid_bouchareb|Rachid Bouchareb
martin_kitrosser|Martin Kitrosser
emeric_pressburger|Emeric Pressburger
rob_hedden|Rob Hedden
cecilia_miniucchi|Cecilia Miniucchi
paul_weiland|Paul Weiland
rowdy_herrington|Rowdy Herrington
vincent_paronnaud|Vincent Paronnaud
kenneth_a_carlson|Kenneth A. Carlson
_0752922|Eldar Ryazanov
norman_rene|Norman René
jiarui_zhang|Jiarui Zhang
john_korty|John Korty
gene_saks|Gene Saks
marc_forster|Marc Forster
peter_kosminsky|Peter Kosminsky
francis_ford_coppola|Francis Ford Coppola
tony_scott|Tony Scott
fred_f_sears|Fred F. Sears
rob_pritts|Rob Pritts
francis_veber|Francis Veber
richard_roxburgh|Richard Roxburgh
bernardo_bertolucci|Bernardo Bertolucci
daniel_sackheim|Daniel Sackheim
busi_cortes|Busi Cortés
masaki_kobayashi|Masaki Kobayashi
mitchell_leisen|Mitchell Leisen
kazuki_akane|Kazuki Akane
1015742-michael_tucker|Michael Tucker (I)
jerrold_freedman|Jerrold Freedman
andy_wolk|Andy Wolk
stanislaw_bareja|Stanislaw Bareja
norman_tokar|Norman Tokar
barry_sullivan|Barry Sullivan
charlie_s_chaplin|Charlie S. Chaplin
hans_zimmer|Hans Zimmer
amos_gitai|Amos Gitai
alexander_aja|Alexander Aja
kenneth_branagh|Kenneth Branagh
jonas_cornell|Jonas Cornell
pj_castellaneta|P.J. Castellaneta
albert_band|Albert Band
alexander_payne|Alexander Payne
jacob_kornbluth|Jacob Kornbluth
judd_apatow|Judd Apatow
bonnie_hill|Bonnie Hill
ti_west|Ti West
jon_shear|Jon Shear
tim_mccanlies|Tim McCanlies
gianni_amelio|Gianni Amelio
irvin_kershner|Irvin Kershner
matthew_harrison|Matthew Harrison
cy_endfield|Cy Endfield
_0873385|Massimo Troisi
daniel_g_karslake|Daniel G. Karslake
michael_austin|Michael Austin
eugene_corr|Eugene Corr
robert_bresson|Robert Bresson
stanley_tucci|Stanley Tucci
jafar_panahi|Jafar Panahi
hyungrae_shim|Hyung-rae Shim
william_lustig|William Lustig
greg_coolidge|Greg Coolidge
jacques_doillon|Jacques Doillon
geoffrey_sax|Geoffrey Sax
william-mesa|William Mesa
laurence_dunmore|Laurence Dunmore
mike_mendez|Mike Mendez
c_thomas_howell|C. Thomas Howell
chris_robinson_iv|Chris Robinson (IV)
euzhan_palcy|Euzhan Palcy
eric-meza|Eric Meza
neil_burger|Neil Burger
esteban-sapir|Esteban Sapir
susan_seidelman|Susan Seidelman
michael_oherlihy|Michael O'Herlihy
ida_lupino|Ida Lupino
christopher-browne|Christopher Browne
mark_pellington|Mark Pellington
marilyn-agrelo|Marilyn Agrelo
douglas_mcgrath|Douglas McGrath
christopher_nolan|Christopher Nolan
1167238-rian_johnson|Rian Johnson
richard_berge|Richard Berge
andres_wood|Andres Wood
clive_barker|Clive Barker
bo_widerberg|Bo Widerberg
karel_reisz|Karel Reisz
curtis_harrington|Curtis Harrington
joyce_bunuel|Joyce Buñuel
diane_kurys|Diane Kurys
rafal_zielinski|Rafal Zielinski
billy-kent|Billy Kent
cm-talkington|C.M. Talkington
lambert_hillyer|Lambert Hillyer
ralph_thomas|Ralph Thomas
ericson-core|Ericson Core
kinka_usher|Kinka Usher
brian_desmond_hurst|Brian Desmond Hurst
glen_a_larson|Glen A. Larson
billy_ray|Billy Ray
steven_lisberger|Steven Lisberger
eugene_lourie|Eugène Lourié
abbe_wool|Abbe Wool
boris_sagal|Boris Sagal
wojciech_wojcik|Wojciech Wojcik
mary_lambert|Mary Lambert
lou_adler|Lou Adler
marek_kanievska|Marek Kanievska
goran_paskaljevic|Goran Paskaljevic
terry_jones|Terry Jones
john_rich|John Rich
fred_c_newmeyer|Fred C. Newmeyer
peter_masterson|Peter Masterson
robert_rodriguez|Robert Rodriguez
jennifer_warren|Jennifer Warren
werner_herzog|Werner Herzog
robert_c_cooper|Robert C. Cooper
charles_shyer|Charles Shyer
neal_israel|Neal Israel
chris_ver_wiel|Chris Ver Wiel
malcolm_mowbray|Malcolm Mowbray
aleksandr_rogozhkin|Aleksandr Rogozhkin
gabriel_baur|Gabriel Baur
jim_jarmusch|Jim Jarmusch
stephen_woolley|Stephen Woolley
phillip_noyce|Phillip Noyce
laurice_guillen|Laurice Guillen
joel_shumacher|Joel Shumacher
udayan_prasad|Udayan Prasad
delmer_daves|Delmer Daves
alejandro_jodorowsky|Alejandro Jodorowsky
eric_small|Eric Small
noel_black|Noel Black
1022918-andrew_davis|Andrew Davis
steve_oedekerk|Steve Oedekerk
ian_iqbal_rashid|Ian Iqbal Rashid
carlos_reygadas|Carlos Reygadas
jonathan-prince|Jonathan Prince
craig_lahiff|Craig Lahiff
jeff_fisher|Jeff Fisher
barbara_streisand|Barbara Streisand
stephen_c_apostolof|Stephen C. Apostolof
amy_holden_jones|Amy Holden Jones
robert_j_rosenthal|Robert J. Rosenthal
peter_yates|Peter Yates
eric_brevig|Eric Brevig
anatole_litvak|Anatole Litvak
gary_winick|Gary Winick
ja_howe|J.A. Howe
1028855-david_butler|David Butler (I)
hype_williams|Hype Williams
tom_schulman|Tom Schulman
fw_murnau|F.W. Murnau
cheryl_dunye|Cheryl Dunye
franco_brusati|Franco Brusati
charles_b_pierce|Charles B. Pierce
pan_nalin|Pan Nalin
andy_wilson_iv|Andy Wilson (IV)
cb-harding|C.B. Harding
michael_lindsayhogg|Michael Lindsay-Hogg
mark_dornford_may|Mark Dornford-May
gavin-grazer|Gavin Grazer
bryan_singer|Bryan Singer
david_lane|David Lane
hiroyuki_morita|Hiroyuki Morita
guy_hamilton|Guy Hamilton
elio-petri|Elio Petri
bruno_romy|Bruno Romy
william_porter|William Porter
alex_haworth|Alex Haworth
andras-solyom|Andras Solyom
frances_reid|Frances Reid
1122723-nicolas_klotz|Nicolas Klotz
pixote-hunt|Pixote Hunt
1174987-andrew_currie|Andrew Currie
e_elias_merhige|E. Elias Merhige
mark_jones|Mark Jones
ruggero_deodato|Ruggero Deodato
364641898|Kay Pollak
manuel_huerga|Manuel Huerga
diane_english|Diane English
charles_trowbridge|Charles Trowbridge
jaidev_chakravorty|Jaidev Chakravorty
paolo_taviani|Paolo Taviani
greg-marcks|Greg Marcks
carl_reiner|Carl Reiner
robert_wise|Robert Wise
david_macdonald|David MacDonald
christophe_gans|Christophe Gans
edo-bertoglio|Edo Bertoglio
